country	year	gdp
Bangladesh	2013	149990451022.29
China	2013	9607224481532.65
Hong Kong	2013	275696879834.966
India	2013	1856722121394.53
Iran	2013	467414852231.298
Israel	2013	292489185194.417
Japan	2013	5155717056270.83
Pakistan	2013	231218567178.979
Saudi Arabia	2013	746647127413.333
South Korea	2013	1305604981271.91
United Arab Emirates	2013	390427289203.54
Viet Nam	2013	171222025117.381
Bangladesh	2012	133355749482.478
China	2012	8560547314679.28
Hong Kong	2012	262629441493.476
India	2012	1827637859135.7
Iran	2012	598853401276.104
Israel	2012	257296579579.346
Japan	2012	6203213121334.12
Pakistan	2012	224383620829.57
Saudi Arabia	2012	735974843360
South Korea	2012	1222807284485.31
United Arab Emirates	2012	374817974104.833
Viet Nam	2012	155820001920.492
Bangladesh	2011	128637938711.386
China	2011	7572553836875.34
Hong Kong	2011	248513617677.287
India	2011	1823049927771.46
Iran	2011	583500357530.417
Israel	2011	261628548084.179
Japan	2011	6157459594823.72
Pakistan	2011	213587413183.996
Saudi Arabia	2011	671238840106.667
South Korea	2011	1202463682633.85
United Arab Emirates	2011	350908390034.037
Viet Nam	2011	135539438559.709
Bangladesh	2010	115279077465.226
China	2010	6100620488867.55
Hong Kong	2010	228637697575.04
India	2010	1656617073124.21
Iran	2010	487069570463.768
Israel	2010	233609522091.468
Japan	2010	5700098114744.41
Pakistan	2010	177406854514.885
Saudi Arabia	2010	5282072e5
South Korea	2010	1094499338702.72
United Arab Emirates	2010	289880430197.413
Viet Nam	2010	115931749697.241
Bangladesh	2009	102477791472.39
China	2009	5109953609257.25
Hong Kong	2009	214046415026.187
India	2009	1323940295874.9
Iran	2009	414059094949.063
Israel	2009	207419370241.335
Japan	2009	5231382674593.7
Pakistan	2009	168152775283.032
Saudi Arabia	2009	429097866666.667
South Korea	2009	901934953364.711
United Arab Emirates	2009	253547358747.447
Viet Nam	2009	106014659770.222
Bangladesh	2008	91631278239.3237
China	2008	4598206091384
Hong Kong	2008	219279678430.164
India	2008	1186952757635.85
Iran	2008	406070949553.875
Israel	2008	215840354626.533
Japan	2008	5037908465114.48
Pakistan	2008	170077814106.305
Saudi Arabia	2008	5197968e5
South Korea	2008	1002219052967.54
United Arab Emirates	2008	315474615738.598
Viet Nam	2008	99130304099.1274
Bangladesh	2007	79611888213.148
China	2007	3552182311652.97
Hong Kong	2007	211597405593.868
India	2007	1201111768409.39
Iran	2007	349881601458.56
Israel	2007	178706717752.732
Japan	2007	4515264514430.57
Pakistan	2007	152385716311.916
Saudi Arabia	2007	415964509673.115
South Korea	2007	1122679154632.41
United Arab Emirates	2007	257916133424.098
Viet Nam	2007	77414425532.2452
Bangladesh	2006	71819083683.7403
China	2006	2752131773355.16
Hong Kong	2006	193536265094.364
India	2006	920316529729.61
Iran	2006	266298911661.144
Israel	2006	153966916311.325
Japan	2006	4530377224970.4
Pakistan	2006	137264061106.043
Saudi Arabia	2006	376900133511.348
South Korea	2006	1011797457138.5
United Arab Emirates	2006	222116541865.214
Viet Nam	2006	66371664817.0436
Bangladesh	2005	69442943089.4309
China	2005	2285965892360.54
Hong Kong	2005	181570082162.19
India	2005	808901077222.092
Iran	2005	226452138291.542
Israel	2005	142462925574.348
Japan	2005	4755410630912.14
Pakistan	2005	109502102510.883
Saudi Arabia	2005	328459608764.111
South Korea	2005	898137194716.188
United Arab Emirates	2005	180617018379.85
Viet Nam	2005	57633255618.2731
Bangladesh	2004	65108544250.0425
China	2004	1955347004963.27
Hong Kong	2004	169099768875.193
India	2004	699688852930.441
Iran	2004	190043433964.841
Israel	2004	135445033199.465
Japan	2004	4815148854362.11
Pakistan	2004	97977766197.6724
Saudi Arabia	2004	258742133333.333
South Korea	2004	764880644710.649
United Arab Emirates	2004	147824370319.946
Viet Nam	2004	45427854693.2554
Bangladesh	2003	60158929188.2556
China	2003	1660287965662.68
Hong Kong	2003	161384522525.299
India	2003	599592902016.212
Iran	2003	153544751395.43
Israel	2003	126864966908.939
Japan	2003	4445658071221.86
Pakistan	2003	83244801092.7096
Saudi Arabia	2003	215807655253.333
South Korea	2003	680520724062.403
United Arab Emirates	2003	124346358066.712
Viet Nam	2003	39552513316.0734
Bangladesh	2002	54724081490.5102
China	2002	1470550015081.55
Hong Kong	2002	166349228737.386
India	2002	508068952065.959
Iran	2002	128626917503.72
