location	year	n
Bangladesh	2013	10
China	2013	17
Hong Kong	2013	0
India	2013	1
Iran	2013	1
Israel	2013	0
Japan	2013	0
Pakistan	2013	0
Saudi Arabia	2013	0
South Korea	2013	0
United Arab Emirates	2013	0
Viet Nam	2013	4
Bangladesh	2012	5
China	2012	9
Hong Kong	2012	10
India	2012	1
Iran	2012	3
Israel	2012	0
Japan	2012	0
Pakistan	2012	0
Saudi Arabia	2012	0
South Korea	2012	0
United Arab Emirates	2012	0
Viet Nam	2012	0
Bangladesh	2011	6
China	2011	11
Hong Kong	2011	9
India	2011	0
Iran	2011	7
Israel	2011	0
Japan	2011	0
Pakistan	2011	0
Saudi Arabia	2011	0
South Korea	2011	1
United Arab Emirates	2011	4
Viet Nam	2011	0
Bangladesh	2010	6
China	2010	11
Hong Kong	2010	5
India	2010	3
Iran	2010	2
Israel	2010	5
Japan	2010	0
Pakistan	2010	1
Saudi Arabia	2010	2
South Korea	2010	1
United Arab Emirates	2010	0
Viet Nam	2010	0
Bangladesh	2009	5
China	2009	10
Hong Kong	2009	0
India	2009	0
Iran	2009	2
Israel	2009	3
Japan	2009	0
Pakistan	2009	1
Saudi Arabia	2009	0
South Korea	2009	4
United Arab Emirates	2009	0
Viet Nam	2009	5
Bangladesh	2008	0
China	2008	10
Hong Kong	2008	4
India	2008	3
Iran	2008	7
Israel	2008	10
Japan	2008	1
Pakistan	2008	3
Saudi Arabia	2008	0
South Korea	2008	2
United Arab Emirates	2008	0
Viet Nam	2008	0
Bangladesh	2007	2
China	2007	10
Hong Kong	2007	5
India	2007	0
Iran	2007	10
Israel	2007	10
Japan	2007	1
Pakistan	2007	3
Saudi Arabia	2007	0
South Korea	2007	5
United Arab Emirates	2007	1
Viet Nam	2007	0
Bangladesh	2006	0
China	2006	11
Hong Kong	2006	0
India	2006	0
Iran	2006	0
Israel	2006	5
Japan	2006	0
Pakistan	2006	5
Saudi Arabia	2006	6
South Korea	2006	1
United Arab Emirates	2006	2
Viet Nam	2006	1
Bangladesh	2005	0
China	2005	9
Hong Kong	2005	0
India	2005	0
Iran	2005	4
Israel	2005	10
Japan	2005	0
Pakistan	2005	6
Saudi Arabia	2005	1
South Korea	2005	1
United Arab Emirates	2005	5
Viet Nam	2005	0
Bangladesh	2004	0
China	2004	6
Hong Kong	2004	0
India	2004	2
Iran	2004	4
Israel	2004	6
Japan	2004	0
Pakistan	2004	1
Saudi Arabia	2004	0
South Korea	2004	4
United Arab Emirates	2004	0
Viet Nam	2004	0
Bangladesh	2003	0
China	2003	10
Hong Kong	2003	10
India	2003	4
Iran	2003	5
Israel	2003	5
Japan	2003	0
Pakistan	2003	1
Saudi Arabia	2003	0
South Korea	2003	3
United Arab Emirates	2003	0
Viet Nam	2003	0
Bangladesh	2002	0
China	2002	8
Hong Kong	2002	0
India	2002	0
Iran	2002	1
Israel	2002	3
Japan	2002	2
Pakistan	2002	0
Saudi Arabia	2002	1
South Korea	2002	0
United Arab Emirates	2002	1
Viet Nam	2002	0
Bangladesh	2001	0
China	2001	10
Hong Kong	2001	0
India	2001	0
Iran	2001	1
Israel	2001	2
Japan	2001	8
